Type,Description,Municipality,Community,Update,ExpiryDate,ContractDate,SoldDate,ListPrice,Sold Price,Taxes,StreetName,StNumber,LSC,Days,perc,Bedroom,BedPlus,Baths,Front,ParkingDriveSpaces,Depth,GarageType,Pool,MLS,RemarksForBrokers,RemarksForClients,Extras,Address,PostalCode,Municipality District,Basement1,Basement2
Detached,2-Storey,Uxbridge,Rural Uxbridge,3/27/2021,4/30/2021,12/17/2020,,"$1,200,000",,"$5,735.28",Uxbridge Pickering T,104,Ter,99,,4,,2,100.15,12,252,None,None,N5066995,All Offers To Forgionej@Gmail.Com With 24 Hours Irrev. Attach Schedule B & Form 801. Follow Covid Precautions. All Buyers And Or Buyers Realtors Must Do Their Own Due Diligence And Verify All Measurements And Or Taxes. Prepare Offer To Purchase Form 500 Commercial,"Excellent Investment Opportunity Half Acre Property. Great Exposure Sits On The North East Corner Of York Durham Line 30 And Uxbridge Pickering Townline. Ideal For Entrepreneur, Contractor, Perfect For Living And Working. Survey Available. House Being Sold As Is Condition. This Property Is Located In Rural Uxbridge Borders Stouffville. Eckardt's Corner Garage Is Still On The Property. Zoned Commercial C1-C2",Property Being Sold As Is***Phase 2 Environmental Study Is Available Upon Request From The Listing Agent***,104 Uxbridge Pickering T Line,L4A 7X4,Uxbridge,Unfinished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/5/2021,3/31/2021,1/29/2021,2/3/2021,"$999,800","$999,000","$4,710.25",A V Nolan,15,Sld,5,100,3,,4,29.88,1,102,Built-In,None,N5097637,Showing 9 Am-6Pm Daily. Buyer Or Buyer Agent To Verify Taxes And Measurements. Schedule B And 801 With Offer.Follow Covid Protocols. Lb For Easy Showing.,"Highly Desirable Stouffville Location. Spacious Detached 3 Bedroom Home With Finished Basement. 1,927 Sqft Plus Finished Basement. 9 Ft Ceilings. Hardwood Throughout Main Floor And Hallways. Oak Staircase With Wrought Iron Pickets. Double Sink In Master, Large Walk-In Closet In Master. Garage Access From Inside House. Quiet Street. Walking Distance To Wendat Village Ps, Parks And Playground, Markham Stouffville Hospital , Grocery, Restaurants, Go Train.","Professional Finished Basement With Laundry Room. Quartz Countertop And Laundry Sink. Patterned Concrete Driveway And Backyard Patio. Fridge Stove, Dishwasher, Washer, Dryer, Water Softener, A/C. Hwt Rental. Shed In Backyard.",15 A V Nolan Dr,L4A0H8,Whitchurch-Stouffville,Finished,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,3/12/2021,7/5/2021,3/4/2021,3/8/2021,"$898,000","$1,000,000","$4,500.00",A.V. Nolan,5,Sld,4,111,3,,3,46.1,1,102,Attached,None,N5137185,"Offers Will Be Reviewed On March 8th, 2021 @ 6:00 P.M., Kindly Register & Email To:Nicoletortorici@Royallepage.Ca By 5:00 P.M., Include Sched ""B"" & 801. Buyer/Agent To Verify All Measurements & Taxes. Thank You For Showing. See Sched B For Exclusions.","Spacious 3 Bedroom Home On Premium 101 Ft Lot Perfect For First Time Buyers! Fully Renovated - Oak Hardwood Flooring Throughout, Smooth Ceiling & Pot Lights,Designer Kitchen With S/S/ Appliances, Hoodfan,Upgraded Backsplash & Quartz Countertops & Large Island With B/I Microwave. Larg Windows For Tons Of Natural Sunlight W/Upgraded Blinds Throughout. Close To Schools, Parks, Shops, Restaurants, Transit & More! Welcome Home!","S/S Fridge,S/S Stove,S/S Dw,B/I Micro,Exh Fan; Washer/Dryer,Existing Elf's & Window Cov,Ecobee Thermostat,Gdo & Remotes,Hwt & Water Sftner(O),Smart Door Lock.",5 A.V. Nolan Dr,L4A0H8,Whitchurch-Stouffville,Full,
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,1/19/2021,7/31/2021,1/11/2021,1/18/2021,"$1,038,000","$1,300,800","$5,739.27",A.V. Nolan,41,Sld,7,125,4,,4,40.03,3,102,Attached,None,N5081163,"Lock Box For Easy Showings!Please Leave The Lights On. No Preemptive Offer! Offers Presentation 7 Pm On Jan 18th, 2021 At 8300 Woodbine Ave,Markham.Please Attach Schedule B,Form 801, And 5% Bank Draft With Your Offer.Must Call If Late Or Cancelling.Thank You!","Gorgeous 4 Bedromms Detached Home Located At Quiet Stouffville Community.*$$$ Spend On Upgrade**New Light Fixtures,Freshly Painting. 9Ft Ceiling & Hardwood Fl On Main Fl.Oak Staircase. Upgrade Modern Kitchen(2017) W/ Granite Counter,Center Island, Backsplash.3 Washrooms At 2nd Fl. Deep Yard.New Upgrade Interlocking(2020 Summer) Front & Backyard.Direct Access To Garage.Close To All Amenities. Must See!!","S/S Appliances:Fridge,Gas Stove,B/I Dishwasher.Washer & Dryer.All Window Coverings.New Light Fixtures.Hot Water Tank ( Rental )",41 A.V. Nolan Dr,L4A0W8,Whitchurch-Stouffville,Full,
Detached,Bungalow,Whitchurch-Stouffville,Stouffville,2/25/2021,5/8/2021,2/8/2021,2/24/2021,"$869,000","$860,000","$3,804.44",Albert,4,Sld,16,99,3,1,2,66,6,132,Attached,None,N5107673,"Please E-Mail Offers, 801. Sched B. Covid-19 Form. Basement Tenant--1/2 Hour Appts- No Showings Wed Before 1:00Pm. Seller Does Not Warrant Retrofit Of Basement Apt. Possible Severance Buyer To Do Their Due Diligence","Fantastic 3+1 Bedroom Bungalow, Hardwood Flrs-Granite Counters-Potlights-Mfl Laundry-S/S Appliances. Desired Location, Walking Distance To Go Train, Shops, Schools, Parks. Spacious Nanny Or In-Law Suite On Lower Level, With Own Entrance. Mature 66 X 132 Private Lot. Attached Garage With Ent To Backyard & Breezeway. Live, Rent And Live, Or Use As Investment Property. Lots Of Opportunity.","Insulated Garage With Heater & Separate Electric Panel, Great For Workshop. Large Deck In Private Backyard. All Light Fixtures, Appliances, Gar Opener, Hwt(R),",4 Albert St,L4A4H1,Whitchurch-Stouffville,Apartment,Sep Entrance
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/17/2021,5/9/2021,2/9/2021,2/15/2021,"$899,000","$950,000","$5,702.88",Albert,41,Sld,6,106,3,,2,50,4,99,Detached,None,N5111234,"2 Hrs Notice.1/2 Hour Showings. Attach Disc, 801, Schedule B To Offers. Offers To Be Presented On February 17 At 7:00 Pm. Seller Reserves The Right To Review Pre-Emptive Offers. Please Email Offers To Samantha.Newmarch@Darylking.Com. Many Thanks!","Rarely Offered, Beautifully Upgraded Home In The Heart Of Downtown Stouffville. Located In Highly Coveted, Quiet, Mature Tree Lined, Family Friendly Neighborhood. Enjoy Morning Coffee In The Serene, East Facing Sunroom & Relax While Watching Sunsets On The Over-Sized West Facing Front Porch. Original Hardwood. Plenty Of Room To Expand On This Premium 99 X 50 Lot. Close To Schools, Go Transit, Restaurants & All Amenities.","S/S Fridge, Stove, Range Hood, B/I Dishwasher, Stacked W/D, All Elfs & Window Coverings.",41 Albert St,L4A1B5,Whitchurch-Stouffville,Full,
Semi-Detach...,2-Storey,Whitchurch-Stouffville,Stouffville,3/30/2021,8/31/2021,3/11/2021,3/29/2021,"$879,900","$881,000","$3,717.48",Amos Lehman,2,Sld,17,100,3,,3,29.63,2,106,Built-In,None,N5146665,Lockbox For Showings. Email Offers To La With Schedule B & Form 801. Min 5% Deposit. Buyer/Agent To Verify Taxes/Measurements. Must Sign Covid Form To Show. Pls Wear Mask/Gloves At Showings,"Gorgeous 3 Bedroom Semi Detached In Desirable Community Of Stouffville. Open Concept Living/Diningwith Hardwood Flooring. Master Bedroom Offers W/I Closet And 4Pc Ensuite. Kitchen Offers Ss Appliances With Breakfast Area With W/O To Two Teired Deck. Large Fully Fences Yard With Garden Shed. Direct Access To Garage. Finished Basement Offers, Rec Room, Office, And Laundry Room.Gas Line For Bbq. Close To Schools, Parks, And Community Centre. Move In And Enjoy!","Existing Ss Fridge, Stove, B/I Dw, Range Hood Fan. Washer/Dryer, Garage Door Opener And Rmeote, All Existing Window Coverings And Elfs. Air Conditioner. Hot Water Tank (Rental). Includes Fridge In Basement, Excludes Drapes In Master Br.",2 Amos Lehman Way,L4A0J9,Whitchurch-Stouffville,Finished,
Detached,Bungalow,Whitchurch-Stouffville,Stouffville,2/18/2021,5/31/2021,2/11/2021,2/17/2021,"$899,000","$980,000","$4,579.82",Aspen,115,Sld,6,109,3,2,2,50,4,105,Attached,None,N5112309,Hot Water Tank (Rental) Purchaser To Assume. Please Register With 801+ Schedule B. Covid Protocols In Effect. Offers(If Any) Will Be Reviewed On Feb 17th At 7:00 Pm. Please Register By 5:00 Pm. Email Offers To Johnwhiterealtor@Gmail.Com. No Preemptive Offers.,"Fairgate Built 3+2 Bedroom Bungalow In Very Sought After Area Of Stouffville. Features Finished Basement, Walkout To Deck From Kitchen Plus Walkout To Yard From Basement. Easily Converts Into A Suite. Close To Parks, Schools, And New Future Go Station. Very Few Bungalows Come On The Market In This Desirable Neighbourhood. Double Wide Drive, No Sidewalk.","Includes Fridge, Stove, Washer, Dryer, Built-In Microwave, Air Conditioning, Central Vac, Gas Burner And Related Equipment.",115 Aspen Cres,L4A5C8,Whitchurch-Stouffville,Fin W/O,Full
Detached,Bungalow,Whitchurch-Stouffville,Stouffville,3/19/2021,6/30/2021,3/3/2021,3/18/2021,"$999,000","$953,000","$4,992.87",Aspen,32,Sld,14,95,3,1,2,76.79,2,120,Attached,None,N5135025,Attach Schedule B & 801. 24H Irrevocable. Buyer & Agent Must Sign Covid Disclosure & Wear Masks. 2 Buyers & 1 Agent Only. Seller Does Not Warrant Apartment Retrofit.,"Fairgate Bungalow In Quiet Residential Area With Basement In Law Suite. 3 Bedrooms Main Floor & Large 1 Bedroom Basement Apt With Sep Entrance (Bsmt Could Be 2nd Br). Hardwood On Main Floor. Large Open Living & Dining. Eat-In Kitchen. Great For Family Home, Move Up Buyer, Retiree Or Investor. Located In A Family Friendly, Quiet Neighbourhood, Surrounded By Mature Trees & Just Minutes From Main St Shops & Restaurants, Schools, Parks, Go Train.","Gas Furnace, Central Air, Cvac, 2 Fridge, 2 Stoves, Built-In Dw, Washer & Dryer, All Electric Light Fixtures & Window Coverings. Hwt (Rental). Please Be Courteous To Bsmt Tenant.",32 Aspen Cres,L4A 5A3,Whitchurch-Stouffville,Apartment,Sep Entrance
Detached,2-Storey,Whitchurch-Stouffville,Stouffville,2/18/2021,5/17/2021,2/17/2021,2/17/2021,"$1,389,000","$1,380,000","$6,188.54",Baker Hill,699,Sld,0,99,4,,4,36.09,2,95,Attached,None,N5118744,Showing With 2 Hrs Notice. The Buyer Or Buyer's Agent To Verify All The Measurements And Tax. Please Follow Covid-19 Protocols While Showing.,"Absolutely Gorgeous 3 Years Old 4 Bedrooms Detached House Located Near Downtown Stouffville. $$$ Spent On Upgrades: Modern Open Concept Kitchen With Quartz Counter Top, 9 Ft Ceiling On Main Floor. Oak Stair Case With Iron Pickets. Front And Back Yard Interlock (2020) Back Yard Deck(2020). Hardwood Floor Through Out Main And Second Level. Huge Master Bedroom With 5Pc Ensuite, And Walk-In Closet. All Lights Has Been Upgraded.","S/S Fridge, Stove, Dishwasher, Washer, Dryer, Furnace, Central Air Conditioner, All Window Coverings, All Electric Light Fixtures",699 Baker Hill Blvd,L4A1Y8,Whitchurch-Stouffville,Unfinished,
